incident_id,title,description,priority,status,reported_by,reported_date,resolved_by,resolved_date,resolution_notes,affected_app,affected_microservice,cpu_usage,memory_usage,related_incidents,kb_article_id
INC510974,High CPU usage on Notification Service,Notifications from Notification Service are not being delivered to users.,Low,Resolved,Sandra Fernandez,21-06-2024 11:48,Richard Martinez,30-12-2024 05:02,Restarted Notification Service.,Backend API,Notification Service,57.57,30.64,,KB063
INC415812,High CPU usage on Auth Service,Connection attempts to Auth Service are timing out.,Low,Open,Summer Williams,23-07-2024 13:26,,,,Mobile Banking App,Auth Service,65.16,43.14,,KB004
INC914639,Notification failure in Database B,Notifications from Database B are not being delivered to users.,Low,Resolved,Taylor Ball,19-08-2024 22:43,Sara Warren,29-01-2025 07:52,Fixed memory leak in Database B.,Backend API,Database B,73.52,16.61,"INC372479, INC913594",
INC641499,Database deadlock in Database B,API requests to Database B are failing with 500 errors.,Low,In Progress,Steven Keller,14-11-2024 20:34,,,,Mobile Banking App,Database B,74.41,48.6,,
INC461026,Memory leak in Payment Service,Connection attempts to Payment Service are timing out.,Medium,Resolved,Chelsey Mitchell,02-01-2025 13:39,Richard Clark,12-01-2025 16:30,Restarted Payment Service.,Backend API,Payment Service,13.07,29.89,,
INC655248,High CPU usage on Notification Service,"Notification Service is consuming excessive memory, causing system slowdowns.",Medium,Resolved,Joann Campos,28-03-2024 15:50,Dr. Debbie Turner,29-04-2024 22:50,Restarted Notification Service.,Online Banking App,Notification Service,72.78,28.47,,KB072
INC503843,Database deadlock in Auth Service,Connection attempts to Auth Service are timing out.,Medium,Resolved,Sarah Rodriguez,10-09-2024 16:49,Peter Henderson,15-03-2025 07:48,Restarted Auth Service.,Backend API,Auth Service,97.84,35.68,,
INC522585,Failed transactions in Notification Service,Users are experiencing high latency when accessing Notification Service.,Medium,In Progress,Richard Wilson,01-07-2024 12:24,,,,Mobile Banking App,Notification Service,38.05,55.15,,KB017
INC651808,Notification failure in Auth Service,Connection attempts to Auth Service are timing out.,Critical,In Progress,Emily Russell,29-12-2024 06:51,,,,Mobile Banking App,Auth Service,87.01,86.32,,KB021
INC369810,High CPU usage on Auth Service,"Auth Service is unresponsive, causing service degradation.",Low,Resolved,Dominic Lewis,12-12-2024 12:35,Linda Stafford,12-12-2024 13:30,Fixed memory leak in Auth Service.,Online Banking App,Auth Service,19.66,14.43,,KB098
INC834233,Memory leak in Auth Service,Connection attempts to Auth Service are timing out.,High,Open,Gary Wilson,22-11-2024 02:42,,,,Mobile Banking App,Auth Service,60.16,90.92,,
INC218952,Notification failure in Notification Service,Notifications from Notification Service are not being delivered to users.,High,In Progress,Sonya Erickson,27-12-2024 21:56,,,,Mobile Banking App,Notification Service,80.48,62.32,"INC392241, INC736810",
INC372519,Notification Service connection timeout,"Notification Service is consuming excessive memory, causing system slowdowns.",Medium,In Progress,Brian Thomas,22-03-2024 22:43,,,,Backend API,Notification Service,76.08,51.1,"INC194936, INC570514",KB085
INC330175,High CPU usage on Payment Service,Users are experiencing high latency when accessing Payment Service.,High,Resolved,Nicholas Cabrera,27-04-2024 14:14,Mitchell Lane,17-10-2024 13:40,Restarted Payment Service.,Online Banking App,Payment Service,42.25,56.73,"INC429236, INC093132",
INC806882,Database deadlock in Notification Service,Connection attempts to Notification Service are timing out.,Critical,In Progress,Tammy Clark,09-12-2024 15:28,,,,Mobile Banking App,Notification Service,78.45,95.28,"INC932686, INC049911",
INC281031,Memory leak in Notification Service,Connection attempts to Notification Service are timing out.,Low,Open,Haley Brown,28-09-2024 00:25,,,,Backend API,Notification Service,22,81.97,,KB015
INC488169,Memory leak in Auth Service,Users are experiencing high latency when accessing Auth Service.,High,In Progress,Paul Heath,13-02-2025 20:56,,,,Online Banking App,Auth Service,86.73,21.5,,
INC330308,API latency spike in Database B,Transactions in Database B are failing due to database issues.,Critical,Resolved,Kathleen Price,20-05-2024 22:50,Kathleen Cervantes,06-09-2024 18:23,Restarted Database B.,Mobile Banking App,Database B,71.45,49.67,,KB035
INC531311,Failed transactions in Database B,Users are experiencing high latency when accessing Database B.,Medium,Open,Amanda Torres,19-02-2025 13:45,,,,Online Banking App,Database B,53.71,27.45,,KB084
INC526342,API latency spike in Payment Service,Connection attempts to Payment Service are timing out.,Critical,Open,David Keller,02-01-2025 22:02,,,,Mobile Banking App,Payment Service,60.66,55.61,,
INC219845,High CPU usage on Database B,"Database B is unresponsive, causing service degradation.",High,Open,James Brown,13-02-2025 17:50,,,,Backend API,Database B,52.98,88.93,,KB086
INC088444,Auth Service connection timeout,A deadlock in Auth Service is blocking critical operations.,Medium,Resolved,Timothy Mckenzie,13-04-2024 01:05,Seth Serrano,21-02-2025 07:50,Restarted Auth Service.,Online Banking App,Auth Service,65.05,65.04,,
INC853902,Database B connection timeout,Transactions in Database B are failing due to database issues.,Medium,Open,Michele Castillo,16-03-2025 18:56,,,,Backend API,Database B,33.8,35.92,,KB097
INC540972,Database deadlock in Database B,"Database B is consuming excessive memory, causing system slowdowns.",Low,Open,Jeffrey Harrington,28-10-2024 19:27,,,,Mobile Banking App,Database B,27,26.09,,
INC704520,Database B not responding,API requests to Database B are failing with 500 errors.,Medium,Open,Allen Rodriguez,03-08-2024 08:58,,,,Mobile Banking App,Database B,63.76,33.44,,KB008
INC973176,High CPU usage on Payment Service,Notifications from Payment Service are not being delivered to users.,Low,In Progress,Alejandra Jones,29-04-2024 00:26,,,,Backend API,Payment Service,57.57,36.62,,KB015
INC787988,Notification Service not responding,Users are experiencing high latency when accessing Notification Service.,Medium,In Progress,Christopher Serrano,14-12-2024 19:29,,,,Online Banking App,Notification Service,53.21,78.48,,KB020
INC116277,Failed transactions in Payment Service,Notifications from Payment Service are not being delivered to users.,Low,Resolved,Lauren Russell,16-09-2024 13:13,Ann Thomas,07-12-2024 07:09,Resolved database deadlock in Payment Service.,Online Banking App,Payment Service,38.76,43.79,,KB100
INC156497,API latency spike in Notification Service,A deadlock in Notification Service is blocking critical operations.,Medium,In Progress,Derek Hill,24-03-2024 09:29,,,,Mobile Banking App,Notification Service,70.22,44.33,,
INC277328,Auth Service not responding,Users are experiencing high latency when accessing Auth Service.,Medium,Open,Nicole Robles,25-03-2024 07:40,,,,Online Banking App,Auth Service,31.05,86.75,,
INC849834,Database B not responding,Transactions in Database B are failing due to database issues.,Low,In Progress,Ellen Hayes,21-08-2024 03:42,,,,Mobile Banking App,Database B,32.65,54.36,,
INC651439,High CPU usage on Auth Service,Users are experiencing high latency when accessing Auth Service.,Low,Open,Dean Fuentes,14-03-2025 18:15,,,,Backend API,Auth Service,85.71,10.64,,
INC331780,Memory leak in Auth Service,Connection attempts to Auth Service are timing out.,Medium,Resolved,Briana Wilson,30-08-2024 09:55,Angela Wilkins,12-03-2025 04:44,Restarted Auth Service.,Online Banking App,Auth Service,99.32,33.93,"INC117134, INC438968",KB024
INC736799,High CPU usage on Payment Service,"Payment Service is consuming excessive memory, causing system slowdowns.",High,In Progress,Andrew Wright,25-11-2024 04:17,,,,Backend API,Payment Service,23.44,70.86,"INC565449, INC688303",KB081
INC002155,Database B not responding,API requests to Database B are failing with 500 errors.,Low,Open,Cynthia Campbell,27-01-2025 15:49,,,,Online Banking App,Database B,90.61,11.48,,
INC858849,Payment Service connection timeout,A deadlock in Payment Service is blocking critical operations.,Medium,Resolved,Jeffrey Hunter,01-09-2024 22:36,Jessica Tran,26-12-2024 06:53,Restarted Payment Service.,Online Banking App,Payment Service,34.64,61.1,,
INC892634,High CPU usage on Payment Service,Notifications from Payment Service are not being delivered to users.,Low,In Progress,Jimmy Williamson,23-12-2024 16:00,,,,Mobile Banking App,Payment Service,84.06,75.43,"INC349289, INC894724",
INC371159,Notification Service connection timeout,"Notification Service is consuming excessive memory, causing system slowdowns.",Medium,Resolved,Michelle Booker,26-08-2024 05:04,Sheena Phillips,26-01-2025 13:59,Restarted Notification Service.,Online Banking App,Notification Service,81.3,44.58,,KB082
INC139929,Notification failure in Notification Service,Transactions in Notification Service are failing due to database issues.,Low,Open,Christopher Wright,09-04-2024 14:43,,,,Mobile Banking App,Notification Service,48.69,96.97,,KB090
INC325996,Failed transactions in Notification Service,Connection attempts to Notification Service are timing out.,High,Resolved,Timothy Orozco,02-07-2024 19:22,Sara Bailey,20-01-2025 17:28,Restarted Notification Service.,Mobile Banking App,Notification Service,90.3,24.97,,KB051
INC033259,Database deadlock in Database B,Users are experiencing high latency when accessing Database B.,Low,In Progress,Anita Hill,23-03-2024 23:25,,,,Online Banking App,Database B,41.82,55.9,,
INC826333,Notification failure in Payment Service,Notifications from Payment Service are not being delivered to users.,Low,Resolved,Brandon Jennings,20-07-2024 15:46,Albert Davis,02-10-2024 15:04,Restarted Payment Service.,Online Banking App,Payment Service,80.68,37.19,,
INC523307,High CPU usage on Database B,"Database B is unresponsive, causing service degradation.",High,Open,Andrew Williams,17-10-2024 21:40,,,,Backend API,Database B,48.86,43.48,,
INC448402,Memory leak in Payment Service,Transactions in Payment Service are failing due to database issues.,Critical,Open,Victor Griffin,05-05-2024 20:16,,,,Online Banking App,Payment Service,46.31,21.6,,
INC093835,Failed transactions in Notification Service,"Notification Service is consuming excessive memory, causing system slowdowns.",Low,In Progress,Terri James,24-01-2025 03:43,,,,Backend API,Notification Service,41.14,25.09,,
INC774966,Payment Service not responding,Connection attempts to Payment Service are timing out.,Low,In Progress,Ricardo Simpson,08-02-2025 04:39,,,,Backend API,Payment Service,38.02,84.27,,KB035
INC803999,High CPU usage on Auth Service,"Auth Service is consuming excessive memory, causing system slowdowns.",Low,In Progress,Sarah Wood,21-04-2024 21:27,,,,Backend API,Auth Service,49.5,48.73,,KB082
INC221373,API latency spike in Payment Service,Transactions in Payment Service are failing due to database issues.,Medium,Resolved,Jennifer Bradley,05-05-2024 23:34,Michael Cobb,22-06-2024 03:54,Fixed memory leak in Payment Service.,Mobile Banking App,Payment Service,18.86,86.11,,KB068
INC049462,Notification failure in Notification Service,A deadlock in Notification Service is blocking critical operations.,Low,In Progress,Matthew Hendricks,02-02-2025 15:13,,,,Online Banking App,Notification Service,54,30.38,,
INC286141,API latency spike in Notification Service,A deadlock in Notification Service is blocking critical operations.,High,Resolved,Sarah Cochran,09-03-2025 14:54,Joshua Pacheco,18-03-2025 13:16,Restarted Notification Service.,Mobile Banking App,Notification Service,60.86,40.12,,
INC476513,Auth Service connection timeout,A deadlock in Auth Service is blocking critical operations.,Low,Open,Tracy Walker,17-10-2024 14:24,,,,Online Banking App,Auth Service,62.65,15.51,,KB063
INC835590,High CPU usage on Auth Service,Transactions in Auth Service are failing due to database issues.,Medium,In Progress,Amy Moore,22-07-2024 17:17,,,,Backend API,Auth Service,63.47,11.98,"INC128128, INC326592",
INC916127,API latency spike in Auth Service,A deadlock in Auth Service is blocking critical operations.,High,Open,Billy Welch,10-01-2025 19:52,,,,Backend API,Auth Service,53.95,95.9,,KB089
INC407759,Database B not responding,A deadlock in Database B is blocking critical operations.,High,Open,Kathleen Neal,04-10-2024 03:06,,,,Backend API,Database B,76.4,16.05,,
INC358594,Database deadlock in Notification Service,Notifications from Notification Service are not being delivered to users.,Low,Resolved,Elizabeth Miller,22-12-2024 11:16,Kenneth Ramirez,16-02-2025 21:56,Restarted Notification Service.,Backend API,Notification Service,42.13,59.52,,
INC790826,Failed transactions in Notification Service,"Notification Service is consuming excessive memory, causing system slowdowns.",Medium,In Progress,Paul Ramirez,22-07-2024 13:18,,,,Mobile Banking App,Notification Service,66.85,93.66,"INC434383, INC860033",
INC920836,Database B connection timeout,Notifications from Database B are not being delivered to users.,Medium,Resolved,Lauren Huynh,05-12-2024 19:17,Mark Weber,08-02-2025 09:20,Restarted Database B.,Online Banking App,Database B,21.58,49.26,,
INC496072,Memory leak in Notification Service,"Notification Service is consuming excessive memory, causing system slowdowns.",Medium,Resolved,Alexandra Sullivan,05-10-2024 23:39,Michelle Hull,10-10-2024 12:58,Resolved database deadlock in Notification Service.,Mobile Banking App,Notification Service,15.03,21.09,,KB021
INC303561,High CPU usage on Auth Service,"Auth Service is unresponsive, causing service degradation.",Medium,In Progress,Mr. Christopher Walsh MD,16-11-2024 00:31,,,,Online Banking App,Auth Service,54.38,42.04,"INC319556, INC445779",KB070
INC370160,Auth Service connection timeout,Connection attempts to Auth Service are timing out.,Low,Resolved,Carla Richardson,10-05-2024 04:11,Sarah Quinn,16-11-2024 02:06,Restarted Auth Service.,Mobile Banking App,Auth Service,93.52,15.11,"INC516852, INC872125",KB093
INC632714,High CPU usage on Auth Service,API requests to Auth Service are failing with 500 errors.,Medium,Open,William Harris,09-02-2025 02:00,,,,Mobile Banking App,Auth Service,38.31,76.45,,KB065
INC151755,Payment Service connection timeout,Transactions in Payment Service are failing due to database issues.,Low,In Progress,Suzanne Baker,29-06-2024 16:52,,,,Backend API,Payment Service,42.32,28.94,,KB041
INC247973,Failed transactions in Payment Service,Notifications from Payment Service are not being delivered to users.,Medium,In Progress,Austin Medina,19-11-2024 02:06,,,,Mobile Banking App,Payment Service,30.07,10.56,,KB090
INC284576,High CPU usage on Notification Service,Users are experiencing high latency when accessing Notification Service.,High,Open,Miranda Wright,18-09-2024 01:21,,,,Mobile Banking App,Notification Service,58.4,96.76,,
INC905285,Memory leak in Notification Service,Users are experiencing high latency when accessing Notification Service.,Low,Resolved,Andrea Graham,29-08-2024 05:10,Renee Chang,16-09-2024 14:25,Fixed memory leak in Notification Service.,Online Banking App,Notification Service,17.09,60.71,,KB002
INC084522,Database deadlock in Auth Service,"Auth Service is consuming excessive memory, causing system slowdowns.",Medium,In Progress,Jenna Taylor,22-11-2024 20:08,,,,Backend API,Auth Service,56.85,33.54,,KB053
INC666232,Notification failure in Notification Service,Transactions in Notification Service are failing due to database issues.,Low,Resolved,Angela Lewis,17-05-2024 08:38,Erin Steele,06-01-2025 23:52,Restarted Notification Service.,Online Banking App,Notification Service,40.22,29.43,,KB080
INC438555,Database deadlock in Database B,Connection attempts to Database B are timing out.,Medium,Open,Cameron Coleman,15-09-2024 17:40,,,,Mobile Banking App,Database B,17.39,48.53,,
INC066962,Memory leak in Database B,API requests to Database B are failing with 500 errors.,Critical,Resolved,Jordan Reese,22-07-2024 07:14,Jason Griffin,25-07-2024 11:29,Fixed memory leak in Database B.,Online Banking App,Database B,80.35,68.31,,KB009
INC110300,Database deadlock in Database B,Connection attempts to Database B are timing out.,Medium,Open,Kimberly Willis,13-10-2024 13:10,,,,Online Banking App,Database B,83.12,97.33,,
INC667376,Payment Service not responding,API requests to Payment Service are failing with 500 errors.,Low,Resolved,John Hodges,27-01-2025 22:59,Billy Lambert,04-03-2025 09:50,Resolved database deadlock in Payment Service.,Mobile Banking App,Payment Service,98.43,66.8,,KB079
INC505871,API latency spike in Auth Service,"Auth Service is consuming excessive memory, causing system slowdowns.",High,In Progress,Paul Fitzgerald,11-08-2024 06:32,,,,Online Banking App,Auth Service,34.91,59,,KB069
INC386636,Database deadlock in Database B,Users are experiencing high latency when accessing Database B.,Medium,Resolved,Nicholas Smith,03-11-2024 14:53,Cheryl Freeman,09-01-2025 08:22,Fixed memory leak in Database B.,Mobile Banking App,Database B,38.99,24.96,"INC298713, INC141284",
INC558609,Database deadlock in Notification Service,"Notification Service is consuming excessive memory, causing system slowdowns.",Medium,Open,Christine Davis,21-02-2025 05:03,,,,Online Banking App,Notification Service,19.41,34.78,,
INC670608,Failed transactions in Auth Service,Notifications from Auth Service are not being delivered to users.,Medium,Resolved,Chris Montoya,05-03-2025 01:59,Brandon Holt,12-03-2025 01:56,Restarted Auth Service.,Backend API,Auth Service,12.15,43.92,"INC622121, INC356450",KB071
INC645101,Notification failure in Payment Service,Notifications from Payment Service are not being delivered to users.,Critical,Resolved,Susan Watson MD,06-12-2024 14:52,Michele Clark,12-12-2024 18:33,Fixed memory leak in Payment Service.,Backend API,Payment Service,48.24,47.3,,
INC992498,Memory leak in Database B,Notifications from Database B are not being delivered to users.,Low,In Progress,Cory Walker,08-09-2024 07:41,,,,Online Banking App,Database B,67.21,94.39,"INC315640, INC903260",KB095
INC211121,Memory leak in Notification Service,API requests to Notification Service are failing with 500 errors.,High,In Progress,Jose Riddle,23-12-2024 17:46,,,,Mobile Banking App,Notification Service,73.99,46.06,,KB040
INC206660,Notification failure in Database B,API requests to Database B are failing with 500 errors.,Low,Resolved,Roy Bryant,14-05-2024 11:55,Sabrina Oneal,17-08-2024 14:20,Restarted Database B.,Online Banking App,Database B,44.46,17.45,,
INC139854,Memory leak in Payment Service,API requests to Payment Service are failing with 500 errors.,Critical,Resolved,Albert Stanley,28-04-2024 18:04,Ashley Carlson,12-10-2024 02:05,Restarted Payment Service.,Mobile Banking App,Payment Service,19.29,32.27,,
INC633463,Notification Service not responding,"Notification Service is consuming excessive memory, causing system slowdowns.",High,Open,Hannah Dixon,02-04-2024 02:52,,,,Online Banking App,Notification Service,15.24,63.04,,
INC880785,Memory leak in Payment Service,Connection attempts to Payment Service are timing out.,Low,In Progress,Patrick Kemp,26-07-2024 20:54,,,,Backend API,Payment Service,42.31,37.39,,KB053
INC334346,Database B not responding,Notifications from Database B are not being delivered to users.,Low,Open,Michael Williamson,11-07-2024 15:07,,,,Backend API,Database B,71.53,72.92,,KB092
INC129685,Database deadlock in Auth Service,"Auth Service is consuming excessive memory, causing system slowdowns.",Low,Open,Erin Turner,02-09-2024 01:19,,,,Backend API,Auth Service,26.59,28.2,,KB046
INC474352,Payment Service not responding,Transactions in Payment Service are failing due to database issues.,Low,Open,Lori Harvey,03-11-2024 14:31,,,,Mobile Banking App,Payment Service,95.39,88.68,,KB092
INC638005,API latency spike in Auth Service,Notifications from Auth Service are not being delivered to users.,High,Open,Zachary Butler,22-01-2025 16:14,,,,Mobile Banking App,Auth Service,12.9,65.57,,
INC785126,Failed transactions in Notification Service,"Notification Service is consuming excessive memory, causing system slowdowns.",Medium,Open,Darryl Adkins,17-07-2024 23:00,,,,Mobile Banking App,Notification Service,92.84,76.4,,KB052
INC839227,Database deadlock in Payment Service,Transactions in Payment Service are failing due to database issues.,High,Resolved,Alexander Carroll,07-07-2024 19:57,Jacqueline Rice,23-08-2024 22:18,Restarted Payment Service.,Backend API,Payment Service,89.57,16.93,,KB067
INC882362,Auth Service connection timeout,Users are experiencing high latency when accessing Auth Service.,Medium,Resolved,Teresa Ward,15-12-2024 23:46,Adriana Schultz,20-01-2025 15:01,Restarted Auth Service.,Mobile Banking App,Auth Service,16.75,38,"INC618415, INC527444",
INC716916,API latency spike in Auth Service,Users are experiencing high latency when accessing Auth Service.,Low,Resolved,Taylor Maldonado,22-08-2024 06:34,Carlos Davenport,11-09-2024 05:21,Restarted Auth Service.,Backend API,Auth Service,56.77,32.71,,KB073
INC802387,Database deadlock in Auth Service,Users are experiencing high latency when accessing Auth Service.,Low,Resolved,Holly Leonard,11-10-2024 20:36,Tina Davis,20-03-2025 19:43,Fixed memory leak in Auth Service.,Backend API,Auth Service,19.89,80.22,,KB047
INC790109,Database deadlock in Notification Service,"Notification Service is consuming excessive memory, causing system slowdowns.",Medium,Open,Cheyenne Wyatt,20-04-2024 11:30,,,,Mobile Banking App,Notification Service,15.2,10.4,,
INC262892,Notification failure in Payment Service,"Payment Service is unresponsive, causing service degradation.",Low,Resolved,Dawn Rivers,27-04-2024 06:10,Jessica Kidd,03-05-2024 19:38,Restarted Payment Service.,Mobile Banking App,Payment Service,66.01,15.86,,KB014
INC826195,Notification failure in Auth Service,Users are experiencing high latency when accessing Auth Service.,Critical,In Progress,Denise Richards,18-05-2024 02:46,,,,Mobile Banking App,Auth Service,54.86,99.46,,KB007
INC214168,Database B connection timeout,A deadlock in Database B is blocking critical operations.,Medium,Resolved,Pamela Chandler,02-11-2024 22:21,Karen Walter,12-12-2024 19:25,Restarted Database B.,Online Banking App,Database B,47.69,20.04,,
INC740482,API latency spike in Payment Service,"Payment Service is consuming excessive memory, causing system slowdowns.",Low,Resolved,Michelle Stephens,11-02-2025 17:31,Derrick West,16-02-2025 19:53,Restarted Payment Service.,Mobile Banking App,Payment Service,79.26,55.07,,
INC728786,Database deadlock in Payment Service,A deadlock in Payment Service is blocking critical operations.,Low,In Progress,Brian Bishop,22-12-2024 04:04,,,,Mobile Banking App,Payment Service,39.69,18.28,,
INC899931,API latency spike in Payment Service,Transactions in Payment Service are failing due to database issues.,Medium,Resolved,Andrea Day,15-11-2024 21:47,Curtis Mccann,16-02-2025 02:27,Resolved database deadlock in Payment Service.,Backend API,Payment Service,19.54,96.55,"INC783866, INC651092",
INC650809,High CPU usage on Auth Service,Connection attempts to Auth Service are timing out.,High,In Progress,Meagan Townsend,15-03-2025 11:43,,,,Online Banking App,Auth Service,76.98,50.13,,KB086
INC841859,Failed transactions in Auth Service,API requests to Auth Service are failing with 500 errors.,Low,Open,Martin Guerrero,04-05-2024 03:20,,,,Backend API,Auth Service,38.22,56.88,,
INC088167,High CPU usage on Auth Service,Transactions in Auth Service are failing due to database issues.,Critical,Resolved,Richard Ruiz,30-11-2024 16:36,Matthew Hoffman,21-01-2025 13:17,Restarted Auth Service.,Mobile Banking App,Auth Service,73.41,93.82,,KB072
INC927926,Database B connection timeout,"Database B is consuming excessive memory, causing system slowdowns.",Medium,In Progress,Janet Espinoza,06-11-2024 11:37,,,,Online Banking App,Database B,98.59,24.62,"INC306145, INC908709",
INC429639,Database deadlock in Database B,Transactions in Database B are failing due to database issues.,Low,Open,Lisa Hester,28-01-2025 18:21,,,,Backend API,Database B,23.65,51.06,,KB027
INC804434,Failed transactions in Payment Service,Notifications from Payment Service are not being delivered to users.,High,In Progress,Melissa Martinez,30-04-2024 18:07,,,,Online Banking App,Payment Service,93.46,30.74,,
INC326358,Auth Service not responding,Notifications from Auth Service are not being delivered to users.,Low,Open,Carol Flores,23-03-2024 23:22,,,,Online Banking App,Auth Service,52.78,63.6,,KB094
INC050472,High CPU usage on Database B,API requests to Database B are failing with 500 errors.,Medium,In Progress,Jerry Mathews,17-06-2024 22:07,,,,Online Banking App,Database B,18.87,48.05,,KB097
INC987490,High CPU usage on Payment Service,"Payment Service is consuming excessive memory, causing system slowdowns.",Critical,Resolved,Corey Brown,05-01-2025 22:53,Michael Roy,09-03-2025 05:52,Restarted Payment Service.,Mobile Banking App,Payment Service,53.94,40.59,,
INC333919,Notification failure in Notification Service,"Notification Service is unresponsive, causing service degradation.",Low,Open,Audrey Potter,30-05-2024 14:48,,,,Online Banking App,Notification Service,57.26,90.02,,
INC406600,Payment Service not responding,"Payment Service is consuming excessive memory, causing system slowdowns.",Medium,Open,Christopher Green,25-08-2024 14:46,,,,Backend API,Payment Service,52.14,36.43,,
INC914845,Payment Service connection timeout,Notifications from Payment Service are not being delivered to users.,Medium,Open,Alexis Henry,07-08-2024 07:23,,,,Online Banking App,Payment Service,73.89,44.88,,
INC935016,Database deadlock in Notification Service,A deadlock in Notification Service is blocking critical operations.,Medium,In Progress,Shelly Peters,01-02-2025 23:43,,,,Backend API,Notification Service,19.34,92.72,,
INC489742,High CPU usage on Payment Service,"Payment Service is unresponsive, causing service degradation.",Medium,Open,Brandon Owens,28-02-2025 16:36,,,,Online Banking App,Payment Service,81.81,97.88,,
INC295973,API latency spike in Database B,Users are experiencing high latency when accessing Database B.,Critical,Open,David Pierce Jr.,28-12-2024 11:31,,,,Online Banking App,Database B,61.67,96.32,,
INC299295,Notification Service connection timeout,API requests to Notification Service are failing with 500 errors.,Low,Open,Amanda Cooley,09-07-2024 23:10,,,,Online Banking App,Notification Service,51.99,74.77,,
INC304686,Memory leak in Notification Service,API requests to Notification Service are failing with 500 errors.,Medium,Resolved,Ian Francis,03-07-2024 19:10,Diane Tran,10-10-2024 17:20,Fixed memory leak in Notification Service.,Mobile Banking App,Notification Service,30.5,73.46,,
INC057925,High CPU usage on Auth Service,A deadlock in Auth Service is blocking critical operations.,High,Open,John Brewer,26-01-2025 11:15,,,,Online Banking App,Auth Service,17.3,66.13,,
INC530704,API latency spike in Notification Service,API requests to Notification Service are failing with 500 errors.,Low,In Progress,Riley Ward,27-03-2024 17:09,,,,Online Banking App,Notification Service,37.96,68.65,,
INC474351,API latency spike in Notification Service,A deadlock in Notification Service is blocking critical operations.,Medium,Open,William Johnson,04-04-2024 02:40,,,,Mobile Banking App,Notification Service,79.44,91.01,,
INC133187,API latency spike in Database B,"Database B is unresponsive, causing service degradation.",Low,Open,Crystal Williams,05-07-2024 01:46,,,,Mobile Banking App,Database B,21.13,53.54,,KB094
INC837421,Payment Service not responding,A deadlock in Payment Service is blocking critical operations.,Low,Resolved,Peter Johnson,24-06-2024 06:24,Christopher Reed,02-02-2025 14:52,Fixed memory leak in Payment Service.,Mobile Banking App,Payment Service,28.84,76.05,,KB071
INC872105,Failed transactions in Payment Service,"Payment Service is unresponsive, causing service degradation.",Low,In Progress,Elizabeth Cook,19-05-2024 21:10,,,,Mobile Banking App,Payment Service,81.14,27.74,"INC916403, INC040857",KB003
INC792931,Failed transactions in Notification Service,"Notification Service is unresponsive, causing service degradation.",Critical,In Progress,Preston Lee,10-07-2024 14:02,,,,Backend API,Notification Service,54.87,94.88,"INC750472, INC208336",KB041
INC567952,API latency spike in Database B,"Database B is consuming excessive memory, causing system slowdowns.",Critical,In Progress,Alexa Jones,30-10-2024 14:45,,,,Online Banking App,Database B,87.48,79.38,,
INC053363,Notification failure in Notification Service,API requests to Notification Service are failing with 500 errors.,Medium,Resolved,Heather Wright,25-11-2024 16:59,Ryan Cruz,09-12-2024 14:30,Restarted Notification Service.,Backend API,Notification Service,85.81,28.55,"INC994370, INC328132",KB050
INC359284,Auth Service not responding,Transactions in Auth Service are failing due to database issues.,Low,Resolved,Connie Love,13-08-2024 08:09,Crystal Payne,14-09-2024 07:24,Restarted Auth Service.,Online Banking App,Auth Service,10.43,30.3,,KB047
INC210982,High CPU usage on Auth Service,Connection attempts to Auth Service are timing out.,Low,Resolved,Benjamin Lane,11-06-2024 04:22,Johnny Reyes,25-09-2024 01:26,Fixed memory leak in Auth Service.,Backend API,Auth Service,54,28.99,,KB082
INC340173,Notification failure in Payment Service,Users are experiencing high latency when accessing Payment Service.,Medium,Resolved,Robert Church,02-11-2024 07:17,Dennis Hunter,17-12-2024 02:35,Restarted Payment Service.,Backend API,Payment Service,38.55,26.63,,KB004
INC687690,Payment Service connection timeout,Connection attempts to Payment Service are timing out.,Low,Resolved,Angela Weaver,22-02-2025 09:58,Samantha Guzman,22-02-2025 14:40,Resolved database deadlock in Payment Service.,Mobile Banking App,Payment Service,55.64,88.16,,KB082
INC297514,Notification failure in Notification Service,"Notification Service is unresponsive, causing service degradation.",Medium,Open,Ryan Miller,25-06-2024 17:58,,,,Backend API,Notification Service,75.47,18.99,,
INC006995,Database deadlock in Notification Service,Transactions in Notification Service are failing due to database issues.,Low,In Progress,Luis Jennings,14-06-2024 01:34,,,,Online Banking App,Notification Service,65.96,26.91,,KB007
INC473199,Database deadlock in Auth Service,Users are experiencing high latency when accessing Auth Service.,Medium,Open,Mindy Pollard,28-04-2024 12:48,,,,Mobile Banking App,Auth Service,66.89,64.5,,KB099
INC569037,Payment Service connection timeout,Connection attempts to Payment Service are timing out.,Medium,In Progress,Matthew Mills,07-09-2024 00:43,,,,Backend API,Payment Service,29.08,56.09,,KB086
INC431917,API latency spike in Database B,Transactions in Database B are failing due to database issues.,High,Resolved,Stephanie Larsen,29-11-2024 20:37,David Huerta,02-12-2024 21:41,Resolved database deadlock in Database B.,Backend API,Database B,22.23,66.53,"INC854657, INC870523",
INC260946,Memory leak in Auth Service,API requests to Auth Service are failing with 500 errors.,Low,Resolved,Claire Davis,16-08-2024 17:56,John Carlson,28-11-2024 11:06,Resolved database deadlock in Auth Service.,Online Banking App,Auth Service,11.39,70.64,,KB060
